id,title,group,size
ACMA 101,Introduction to Insurance,ACMA,1
MATH 150,MATH 150,MATH,1
MATH 151,MATH 151,MATH,1
MATH 154,MATH 154,MATH,1
MATH 157,MATH 157,MATH,1
ACMA 231,Tools for Data-Driven Decision Making,ACMA,1
HS BC Mathematics 12,HS BC Mathematics 12,HS,1
ACMA 336,Job Practicum I,ACMA,1
ACMA 337,Job Practicum II,ACMA,1
ACMA 340,Financial Economics for Actuaries,ACMA,1
ACMA 201,Interest Theory and Applications,ACMA,1
ACMA 210,ACMA 210,ACMA,1
STAT 285,STAT 285,STAT,1
ACMA 421,Advanced Models for Short-Term Insurance,ACMA,1
ACMA 321,Fundamentals of Short-Term Insurance,ACMA,1
STAT 350,STAT 350,STAT,1
ACMA 436,Job Practicum III,ACMA,1
ACMA 437,Job Practicum IV,ACMA,1
ACMA 438,Job Practicum V,ACMA,1
ACMA 455,Loss Models II,ACMA,1
ACMA 355,ACMA 355,ACMA,1
ACMA 495,Directed Studies in Actuarial Science,ACMA,1
APMA 995,PhD Oral Candidacy Exam,APMA,1
ARCH 200,Special Topics in Archaeology,ARCH,1
ARCH 271,Interpreting the Past: An Introduction to Archaeological Theory,ARCH,1
ARCH 101,ARCH 101,ARCH,1
ARCH 201,ARCH 201,ARCH,1
ARCH 272W,Archaeology of the Old World,ARCH,1
ARCH 100,ARCH 100,ARCH,1
ARCH 273,Archaeology of the New World,ARCH,1
EVSC 100,EVSC 100,EVSC,1
GEOG 100,GEOG 100,GEOG,1
REM 100,REM 100,REM,1
ARCH 285,Archaeological Science,ARCH,1
ARCH 286,Cultural Heritage Management,ARCH,1
ARCH 301,Ancient Visual Art,ARCH,1
ARCH 321,Special Topics: Select Regions in World Archaeology I,ARCH,1
ARCH 322,Special Topics in Biological Anthropology I,ARCH,1
ARCH 131,ARCH 131,ARCH,1
ARCH 323,Special Topics in Biological Anthropology II,ARCH,1
ARCH 329,Special Topics in Environmental Archaeology,ARCH,1
ARCH 340,Zooarchaeology,ARCH,1
ARCH 348,Archaeological Conservation,ARCH,1
ARCH 350,Practicum I,ARCH,1
ARCH 351,Practicum II,ARCH,1
ARCH 363,Landscape Archaeology,ARCH,1
ARCH 365,Archaeological Perspectives on Human Ecology,ARCH,1
ARCH 373,Human Osteology,ARCH,1
ARCH 374,Research Design in Archaeology,ARCH,1
ARCH 375,From Soup to Nuts: The Archaeology of Food,ARCH,1
ARCH 376,Quantitative Methods in Archaeology,ARCH,1
GEOG 251,GEOG 251,GEOG,1
PSYC 210,PSYC 210,PSYC,1
STAT 101,STAT 101,STAT,1
STAT 201,STAT 201,STAT,1
STAT 203,STAT 203,STAT,1
STAT 205,STAT 205,STAT,1
ARCH 378,Pacific Northwest North America,ARCH,1
ARCH 383,Ancient and Forensic DNA,ARCH,1
ARCH 386,Archaeological Resource Management,ARCH,1
ARCH 433,Background to Field Work,ARCH,1
ARCH 282,Material Culture Analysis,ARCH,1
ARCH 372,ARCH 372,ARCH,1
ARCH 434,Archaeological Field Methods,ARCH,1
ARCH 435,Field Work Practicum,ARCH,1
ARCH 436,Biological Anthropology Field Practicum,ARCH,1
ARCH 442,Forensic Anthropology,ARCH,1
CRIM 357,CRIM 357,CRIM,1
BPK 303,BPK 303,BPK,1
BPK 324,BPK 324,BPK,1
BPK 325,BPK 325,BPK,1
BPK 326,BPK 326,BPK,1
ARCH 450,Practicum III,ARCH,1
ARCH 471W,Archaeological Theory,ARCH,1
ARCH 479,Directed Readings,ARCH,1
ARCH 480,Directed Laboratory/Library/Field Research,ARCH,1
ARCH 483,Ancient and Forensic DNA Lab Project,ARCH,1
ARCH 498,Honours Reading,ARCH,1
ARCH 499,Honours Thesis,ARCH,1
ARCH 551,HRM Business Management,ARCH,1
ARCH 561,HRM Archaeological Research Design and Methods,ARCH,1
ARCH 591,Directed Study in Heritage Resource Management,ARCH,1
ARCH 874,PhD Prospectus & Colloquium,ARCH,1
ARCH 875,PhD Comprehensive Examination,ARCH,1
BISC 101,General Biology,BISC,1
HS Biology 12,HS Biology 12,HS,1
BISC 100,BISC 100,BISC,1
BISC 113,BISC 113,BISC,1
BPK 105,BPK 105,BPK,1
HSCI 100,HSCI 100,HSCI,1
HS Chemistry 12,HS Chemistry 12,HS,1
CHEM 111,CHEM 111,CHEM,1
BISC 102,General Biology,BISC,1
BISC 171,Biological Sciences Undergraduate Seminar,BISC,1
BISC 202,Genetics,BISC,1
BISC 204,Ecology,BISC,1
BISC 212,Biological Research,BISC,1
BISC 300,Evolution,BISC,1
BISC 302W,Genetic Analysis,BISC,1
MBB 222,MBB 222,MBB,1
BISC 303,Microbiology,BISC,1
MBB 231,MBB 231,MBB,1
BISC 305,Animal Physiology,BISC,1
BISC 205,Principles of Physiology,BISC,1
BPK 205,BPK 205,BPK,1
BISC 306,Invertebrate Biology,BISC,1
GEOG 215,GEOG 215,GEOG,1
BISC 308,Environmental Toxicology: An Ecological Perspective,BISC,1
BISC 309,Conservation Biology,BISC,1
BISC 313,Environmental Toxicology: A Mechanistic Perspective,BISC,1
BISC 316,Vertebrate Biology,BISC,1
BISC 317,Insect Biology,BISC,1
BISC 318,Parasitology,BISC,1
HSCI 212,HSCI 212,HSCI,1
BISC 333,Developmental Biology,BISC,1
BISC 337,Plant Biology,BISC,1
BISC 341,Practicum I,BISC,1
BISC 342,Practicum II,BISC,1
BISC 360W,Techniques in Ecology and Evolution,BISC,1
BISC 366,Plant Physiology,BISC,1
BISC 371,Special Topics in Biology for Non-majors,BISC,1
BISC 373,Brewing Science,BISC,1
BISC 405,Neurobiology,BISC,1
BPK 306,BPK 306,BPK,1
HSCI 321,HSCI 321,HSCI,1
BISC 407,Population Dynamics,BISC,1
BISC 410,Behavioural Ecology,BISC,1
BISC 412,Aquatic Ecology,BISC,1
BISC 413,Fisheries Ecology,BISC,1
BISC 414,Limnology,BISC,1
BISC 420,Community Ecology,BISC,1
BISC 423,Developmental Neurobiology,BISC,1
BISC 424,Applied Genomics,BISC,1
BISC 357,Genetic Engineering,BISC,1
MBB 331,MBB 331,MBB,1
BISC 425,Sensory Biology,BISC,1
BISC 430,Microbe-Plant Interactions,BISC,1
BISC 328,Fungal Biology and Ecology,BISC,1
BISC 440W,Biodiversity,BISC,1
BISC 441,Evolution of Health and Disease,BISC,1
MATH 152,MATH 152,MATH,1
MATH 155,MATH 155,MATH,1
MATH 158,MATH 158,MATH,1
ACMA 301,Long-Term Actuarial Mathematics I,ACMA,1
STAT 330,STAT 330,STAT,1
ACMA 360W,Actuarial Communication,ACMA,1
ACMA 320,ACMA 320,ACMA,1
ACMA 401,Long-Term Actuarial Mathematics II,ACMA,1
ARCH 312,Greek Art and Archaeology,ARCH,1
HS 100,HS 100,HS,1
HS 231,HS 231,HS,1
HS 232,HS 232,HS,1
HS 277,HS 277,HS,1
HIST 277,HIST 277,HIST,1
ARCH 313,Roman Art and Archaeology,ARCH,1
ARCH 344,Primate Behaviour,ARCH,1
ARCH 349,Management of Archaeological Collections,ARCH,1
ARCH 382,Lithic Technology,ARCH,1
PHYS 101,PHYS 101,PHYS,1
BISC 327,Algal Biology,BISC,1
BISC 428,Cell Anatomy,BISC,1
BISC 433,Environmental Microbiology,BISC,1
BISC 443,Practicum III,BISC,1
BISC 444,Practicum IV,BISC,1
BISC 445,Environmental Physiology of Animals,BISC,1
BISC 446,Practicum V,BISC,1
BISC 447,Stem Cells - Current Trends,BISC,1
MBB 322,MBB 322,MBB,1
BISC 457,Plant Molecular Biology and Biotechnology,BISC,1
BISC 471,"Special Topics in Cells, Molecules and Physiology",BISC,1
BISC 474,"Special Topics in Ecology, Evolution and Conservation",BISC,1